 |  | usuario: admin | contraseña: Admin1432!
IP | https://api-service.gruponavitel.com/ |  | 
Módulo | Método HTTP | Ruta (Endpoint) | Descripción (ES)
Auth | POST | /auth/login | Login
Auth | POST | /auth/logout | Logout
Master | GET | /api/v1/master/customers | Listar clientes (paginado)
Master | GET | /api/v1/master/customers/:id | Obtener cliente po ID
Master | POST | /api/v1/master/customers | Crear cliente
Master | PUT | /api/v1/master/customers/:id | Actualizar cliente
Master | PATCH | /api/v1/master/customers/:id/status | Alternar cliente estado
Master | DELETE | /api/v1/master/customers/:id | Eliminación lógica cliente
Master | GET | /api/v1/master/drivers | Listar conductores (paginado)
Master | GET | /api/v1/master/drivers/:id | Obtener conducto po ID con sub-entidades
Master | POST | /api/v1/master/drivers | Crear conductor
Master | PUT | /api/v1/master/drivers/:id | Actualizar conductor
Master | PATCH | /api/v1/master/drivers/:id/status | Alternar conducto estado
Master | GET | /api/v1/master/vehicles | Listar vehículos (paginado)
Master | GET | /api/v1/master/vehicles/:id | Obtener vehículo po ID con sub-entidades
Master | POST | /api/v1/master/vehicles | Crear vehículo
Master | PUT | /api/v1/master/vehicles/:id | Actualizar vehículo
Master | PATCH | /api/v1/master/vehicles/:id/status | Actualizar vehículo estado
Master | POST | /api/v1/master/vehicles/:id/breakdowns | Reportar vehículo avería
Master | GET | /api/v1/master/products | Listar productoos (paginado)
Master | GET | /api/v1/master/products/:id | Obtener productoo po ID
Master | POST | /api/v1/master/products | Crear productoo
Master | PUT | /api/v1/master/products/:id | Actualizar productoo
Master | PATCH | /api/v1/master/products/:id/status | Alternar productoo estado
Master | POST | /api/v1/master/customers/bulk-delete | Masivo eliminación lógica clientes
Master | POST | /api/v1/master/customers/:id/toggle-status | Alternar cliente activo/inactivo
Master | GET | /api/v1/master/customers/stats | Obtener cliente estadísticas
Master | GET | /api/v1/master/customers/find-by-document | Encontrar cliente by número de documento
Master | POST | /api/v1/master/customers/import | Importar clientes desde arreglo
Master | GET | /api/v1/master/customers/export/csv | Exportar clientes a CSV
Master | GET | /api/v1/master/customers/cities | Obtener distintos cliente ciudades
Master | DELETE | /api/v1/master/drivers/:id | Eliminación lógica conductor
Master | POST | /api/v1/master/drivers/bulk-delete | Masivo eliminación lógica conductores
Master | GET | /api/v1/master/drivers/stats | Obtener conducto estadísticas
Master | GET | /api/v1/master/drivers/expiring-licenses | Obtener conductores con próximos a expirar licencias
Master | DELETE | /api/v1/master/vehicles/:id | Eliminación lógica vehículo
Master | POST | /api/v1/master/vehicles/bulk-delete | Masivo eliminación lógica vehículos
Master | GET | /api/v1/master/vehicles/stats | Obtener vehículo estadísticas
Master | GET | /api/v1/master/vehicles/expiring-documents | Obtener vehículos con próximos a expirar seguro
Master | GET | /api/v1/master/vehicles/needing-maintenance | Obtener vehículos necesitando mantenimiento
Master | DELETE | /api/v1/master/products/:id | Eliminación lógica productoo
Master | POST | /api/v1/master/products/:id/duplicate | Duplicar productoo
Master | GET | /api/v1/master/products/stats | Obtener productoo estadísticas
Master | GET | /api/v1/master/operators | Listar operadores (paginado)
Master | GET | /api/v1/master/operators/:id | Obtener operado po ID
Master | POST | /api/v1/master/operators | Crear operador
Master | PUT | /api/v1/master/operators/:id | Actualizar operador
Master | DELETE | /api/v1/master/operators/:id | Eliminación lógica operador
Master | GET | /api/v1/master/operators/stats | Obtener operado estadísticas
Geofence | GET | /geofences | Listar geocercas (paginado con filtros)
Geofence | GET | /geofences/:id | Obtener geocerca po ID
Geofence | PUT | /geofences/:id | Actualizar geocerca metadatos y alerta configuraciones
Geofence | DELETE | /geofences/:id | Eliminación lógica geocerca
Geofence | POST | /geofences/bulk-delete | Masivo eliminación lógica geocercas
Geofence | POST | /geofences/:id/duplicate | Duplicar geocerca y sincronizar copy a GPS proveedor
Geofence | PATCH | /geofences/batch-color | Actualizar colo para múltiples geocercas
Geofence | PATCH | /geofences/batch-category | Actualizar category para múltiples geocercas
